user_id	item_id	rating	timestamp
1282	480	1	1475251200
4134	810	1	1475251320
2183	245	1	1475251980
1145	362	1	1475253000
97	132	1	1475253600
3156	8	1	1475254080
931	154	1	1475254260
4809	102	1	1475254500
306	183	1	1475254560
4221	28	1	1475254560
4286	810	1	1475254980
4935	8	1	1475255100
1118	8	1	1475256000
439	129	1	1475256060
2435	328	1	1475256240
2070	217	1	1475256600
304	0	1	1475256840
2135	11	1	1475257380
3348	129	1	1475257740
980	129	1	1475257800
2138	491	1	1475258460
118	0	1	1475258520
3765	22	1	1475258700
3765	221	1	1475258760
1492	165	1	1475259180
4935	487	1	1475259480
1220	0	1	1475259780
2064	110	1	1475260140
5044	11	1	1475260320
2599	140	1	1475261040
304	2	1	1475261520
1001	108	1	1475261640
666	1	1	1475261940
31	20	1	1475262120
3473	138	1	1475262660
699	129	1	1475263260
2506	6	1	1475263500
5050	1	1	1475263800
4147	810	1	1475264040
1381	67	1	1475264400
1381	24	1	1475264400
2590	169	1	1475264760
4265	810	1	1475265060
594	354	1	1475267100
684	21	1	1475267160
4244	810	1	1475267940
1669	241	1	1475268240
5040	184	1	1475268480
4810	23	1	1475268900
4141	810	1	1475269680
1017	169	1	1475270040
1016	143	1	1475270700
5049	153	1	1475270880
2680	26	1	1475271300
2361	110	1	1475272380
764	166	1	1475272560
1411	217	1	1475273040
1030	0	1	1475273460
1224	184	1	1475273580
699	130	1	1475273760
4427	8	1	1475274420
1678	6	1	1475275320
1991	26	1	1475275800
4204	810	1	1475275860
240	137	1	1475276280
691	169	1	1475276580
2786	130	1	1475277120
4854	252	1	1475277120
240	20	1	1475277180
5056	354	1	1475277540
1635	184	1	1475278080
4275	810	1	1475278320
1603	0	1	1475279040
4920	13	1	1475279040
1487	166	1	1475279520
4287	810	1	1475280120
122	131	1	1475280960
2231	184	1	1475280960
2890	8	1	1475281260
2890	201	1	1475281740
2890	207	1	1475281860
2890	219	1	1475281920
993	91	1	1475282460
4186	810	1	1475282460
4953	201	1	1475282520
301	48	1	1475282700
980	153	1	1475282700
4888	6	1	1475282760
980	219	1	1475282940
1879	148	1	1475283300
958	169	1	1475283660
980	67	1	1475283720
4176	810	1	1475284200
4256	20	1	1475284200
980	133	1	1475285040
1578	47	1	1475285400
4211	810	1	1475287320
1060	184	1	1475288040
855	0	1	1475290800
2333	217	1	1475290980
2333	140	1	1475291040
1251	167	1	1475291100
4218	810	1	1475291640
1778	154	1	1475291880
5031	198	1	1475292360
2135	26	1	1475293920
2562	1	1	1475294040
4167	810	1	1475294100
4230	810	1	1475294100
4212	810	1	1475294220
304	6	1	1475294280
448	1	1	1475294280
1453	201	1	1475294640
1848	108	1	1475294880
5049	207	1	1475295360
5056	250	1	1475295540
1613	489	1	1475295600
2206	252	1	1475296200
566	169	1	1475296620
5056	491	1	1475297220
4262	810	1	1475297580
566	22	1	1475298180
5049	154	1	1475299320
5049	7	1	1475299500
933	118	1	1475300460
274	166	1	1475300700
5050	148	1	1475300940
1250	487	1	1475301540
2913	2	1	1475301780
3252	1	1	1475301900
1432	153	1	1475302260
600	26	1	1475302740
30	183	1	1475303400
2886	184	1	1475303520
5060	22	1	1475303820
5056	293	1	1475303940
