user_id	item_id	rating	timestamp
901	174	1	1358682372
3397	216	1	1435397636
3248	216	1	1435479308
833	216	1	1435817616
289	216	1	1435835558
3673	216	1	1435893939
4147	216	1	1435933258
1659	216	1	1435990881
184	216	1	1435999668
4071	216	1	1436015924
2198	216	1	1436023980
2802	216	1	1436059839
1786	216	1	1436087265
4117	216	1	1436090068
4178	215	1	1436098876
4178	216	1	1436098876
2880	216	1	1436104485
1130	216	1	1436104547
92	216	1	1436424587
1377	216	1	1436443619
2616	216	1	1436445894
257	216	1	1436449416
236	216	1	1436528199
1036	216	1	1436536828
1468	216	1	1436590177
3411	216	1	1436601613
360	216	1	1436670625
3445	216	1	1436770788
507	216	1	1436839200
3004	216	1	1436923810
747	216	1	1437017153
204	216	1	1437032645
4051	215	1	1437113322
4051	216	1	1437113322
1919	216	1	1437201310
1590	216	1	1437368863
3567	215	1	1437394660
3567	216	1	1437394660
3367	216	1	1437399327
2173	216	1	1437462112
2039	216	1	1437553919
2936	216	1	1437633117
348	216	1	1437640002
151	216	1	1437646812
2754	216	1	1437718430
1529	216	1	1438000871
425	215	1	1438073573
1066	216	1	1438248235
4060	216	1	1438359449
3128	216	1	1438398557
4460	216	1	1438592383
4051	236	1	1438592905
4051	97	1	1438594267
3566	215	1	1438606881
3566	216	1	1438606881
4084	216	1	1438697584
2616	97	1	1438790812
3849	216	1	1438826394
3264	97	1	1438930241
2143	97	1	1438942515
3264	13	1	1438946243
58	13	1	1438958930
2150	97	1	1439104152
579	10	1	1439107066
1866	216	1	1439179812
2158	216	1	1439183771
3467	13	1	1439293556
496	13	1	1439339870
2754	236	1	1439363639
3173	236	1	1439448416
544	13	1	1439545851
2158	97	1	1439608106
3209	13	1	1439699213
4225	216	1	1439703786
1455	216	1	1439862889
2028	10	1	1439969007
1532	13	1	1439992953
2200	10	1	1439994648
93	97	1	1440038493
1239	216	1	1440053515
544	97	1	1440113387
4367	216	1	1440123679
286	10	1	1440159012
286	13	1	1440165175
63	215	1	1440203786
63	216	1	1440203786
491	216	1	1440227322
1382	10	1	1440342094
